AAPL,https://logo.clearbit.com/apple.com
MSFT,https://logo.clearbit.com/microsoft.com
GOOGL,https://logo.clearbit.com/google.com
AMZN,https://logo.clearbit.com/amazon.com
TSLA,https://logo.clearbit.com/tesla.com
META,https://logo.clearbit.com/meta.com
NFLX,https://logo.clearbit.com/netflix.com
NVDA,https://logo.clearbit.com/nvidia.com
ADBE,https://logo.clearbit.com/adobe.com
INTC,https://logo.clearbit.com/intel.com
ORCL,https://logo.clearbit.com/oracle.com
IBM,https://logo.clearbit.com/ibm.com
AMD,https://logo.clearbit.com/amd.com
CRM,https://logo.clearbit.com/salesforce.com
PYPL,https://logo.clearbit.com/paypal.com
UBER,https://logo.clearbit.com/uber.com
LYFT,https://logo.clearbit.com/lyft.com
DIS,https://logo.clearbit.com/disney.com
KO,https://logo.clearbit.com/coca-colacompany.com
PEP,https://logo.clearbit.com/pepsico.com
WMT,https://logo.clearbit.com/walmart.com
COST,https://logo.clearbit.com/costco.com
NKE,https://logo.clearbit.com/nike.com
SBUX,https://logo.clearbit.com/starbucks.com
BA,https://logo.clearbit.com/boeing.com
GM,https://logo.clearbit.com/gm.com
F,https://logo.clearbit.com/ford.com
JPM,https://logo.clearbit.com/jpmorganchase.com
V,https://logo.clearbit.com/visa.com
MA,https://logo.clearbit.com/mastercard.com
